,ticker,security,yahoo_urls
0,ABT,Abbott Laboratories,https://finance.yahoo.com/quote/ABT/history?p=ABT
1,ABBV,AbbVie,https://finance.yahoo.com/quote/ABBV/history?p=ABBV
2,ABMD,Abiomed,https://finance.yahoo.com/quote/ABMD/history?p=ABMD
3,ACN,Accenture,https://finance.yahoo.com/quote/ACN/history?p=ACN
4,ATVI,Activision Blizzard,https://finance.yahoo.com/quote/ATVI/history?p=ATVI
5,ADBE,Adobe,https://finance.yahoo.com/quote/ADBE/history?p=ADBE
6,AMD,Advanced Micro Devices,https://finance.yahoo.com/quote/AMD/history?p=AMD
7,AAP,Advance Auto Parts,https://finance.yahoo.com/quote/AAP/history?p=AAP
8,AES,AES Corp,https://finance.yahoo.com/quote/AES/history?p=AES
9,AFL,Aflac,https://finance.yahoo.com/quote/AFL/history?p=AFL
10,A,Agilent Technologies,https://finance.yahoo.com/quote/A/history?p=A
11,APD,Air Products & Chemicals,https://finance.yahoo.com/quote/APD/history?p=APD
12,AKAM,Akamai Technologies,https://finance.yahoo.com/quote/AKAM/history?p=AKAM
13,ALK,Alaska Air Group,https://finance.yahoo.com/quote/ALK/history?p=ALK
14,ALB,Albemarle Corporation,https://finance.yahoo.com/quote/ALB/history?p=ALB
15,ARE,Alexandria Real Estate Equities,https://finance.yahoo.com/quote/ARE/history?p=ARE
16,ALGN,Align Technology,https://finance.yahoo.com/quote/ALGN/history?p=ALGN
17,ALLE,Allegion,https://finance.yahoo.com/quote/ALLE/history?p=ALLE
18,LNT,Alliant Energy,https://finance.yahoo.com/quote/LNT/history?p=LNT
19,ALL,Allstate Corp,https://finance.yahoo.com/quote/ALL/history?p=ALL
20,GOOGL,Alphabet (Class A),https://finance.yahoo.com/quote/GOOGL/history?p=GOOGL
21,GOOG,Alphabet (Class C),https://finance.yahoo.com/quote/GOOG/history?p=GOOG
22,MO,Altria Group,https://finance.yahoo.com/quote/MO/history?p=MO
23,AMZN,Amazon,https://finance.yahoo.com/quote/AMZN/history?p=AMZN
24,AMCR,Amcor,https://finance.yahoo.com/quote/AMCR/history?p=AMCR
25,AEE,Ameren Corp,https://finance.yahoo.com/quote/AEE/history?p=AEE
26,AAL,American Airlines Group,https://finance.yahoo.com/quote/AAL/history?p=AAL
27,AEP,American Electric Power,https://finance.yahoo.com/quote/AEP/history?p=AEP
28,AXP,American Express,https://finance.yahoo.com/quote/AXP/history?p=AXP
29,AIG,American International Group,https://finance.yahoo.com/quote/AIG/history?p=AIG
30,AMT,American Tower,https://finance.yahoo.com/quote/AMT/history?p=AMT
31,AWK,American Water Works,https://finance.yahoo.com/quote/AWK/history?p=AWK
32,AMP,Ameriprise Financial,https://finance.yahoo.com/quote/AMP/history?p=AMP
33,ABC,AmerisourceBergen,https://finance.yahoo.com/quote/ABC/history?p=ABC
34,AME,Ametek,https://finance.yahoo.com/quote/AME/history?p=AME
35,AMGN,Amgen,https://finance.yahoo.com/quote/AMGN/history?p=AMGN
36,APH,Amphenol,https://finance.yahoo.com/quote/APH/history?p=APH
37,ADI,Analog Devices,https://finance.yahoo.com/quote/ADI/history?p=ADI
38,ANSS,Ansys,https://finance.yahoo.com/quote/ANSS/history?p=ANSS
39,ANTM,Anthem,https://finance.yahoo.com/quote/ANTM/history?p=ANTM
40,AON,Aon,https://finance.yahoo.com/quote/AON/history?p=AON
41,AOS,A. O. Smith,https://finance.yahoo.com/quote/AOS/history?p=AOS
42,APA,APA Corporation,https://finance.yahoo.com/quote/APA/history?p=APA
43,AAPL,Apple,https://finance.yahoo.com/quote/AAPL/history?p=AAPL
44,AMAT,Applied Materials,https://finance.yahoo.com/quote/AMAT/history?p=AMAT
45,APTV,Aptiv,https://finance.yahoo.com/quote/APTV/history?p=APTV
46,ADM,ADM,https://finance.yahoo.com/quote/ADM/history?p=ADM
47,ANET,Arista Networks,https://finance.yahoo.com/quote/ANET/history?p=ANET
48,AJG,Arthur J. Gallagher & Co.,https://finance.yahoo.com/quote/AJG/history?p=AJG
49,AIZ,Assurant,https://finance.yahoo.com/quote/AIZ/history?p=AIZ
50,T,AT&T,https://finance.yahoo.com/quote/T/history?p=T
51,ATO,Atmos Energy,https://finance.yahoo.com/quote/ATO/history?p=ATO
52,ADSK,Autodesk,https://finance.yahoo.com/quote/ADSK/history?p=ADSK
53,ADP,Automatic Data Processing,https://finance.yahoo.com/quote/ADP/history?p=ADP
54,AZO,AutoZone,https://finance.yahoo.com/quote/AZO/history?p=AZO
55,AVB,AvalonBay Communities,https://finance.yahoo.com/quote/AVB/history?p=AVB
56,AVY,Avery Dennison,https://finance.yahoo.com/quote/AVY/history?p=AVY
57,BKR,Baker Hughes,https://finance.yahoo.com/quote/BKR/history?p=BKR
58,BLL,Ball Corp,https://finance.yahoo.com/quote/BLL/history?p=BLL
59,BAC,Bank of America,https://finance.yahoo.com/quote/BAC/history?p=BAC
60,BBWI,Bath & Body Works,https://finance.yahoo.com/quote/BBWI/history?p=BBWI
61,BAX,Baxter International,https://finance.yahoo.com/quote/BAX/history?p=BAX
62,BDX,Becton Dickinson,https://finance.yahoo.com/quote/BDX/history?p=BDX
63,BRK.B,Berkshire Hathaway,https://finance.yahoo.com/quote/BRK.B/history?p=BRK.B
64,BBY,Best Buy,https://finance.yahoo.com/quote/BBY/history?p=BBY
65,BIO,Bio-Rad Laboratories,https://finance.yahoo.com/quote/BIO/history?p=BIO
66,TECH,Bio-Techne,https://finance.yahoo.com/quote/TECH/history?p=TECH
67,BIIB,Biogen,https://finance.yahoo.com/quote/BIIB/history?p=BIIB
68,BLK,BlackRock,https://finance.yahoo.com/quote/BLK/history?p=BLK
69,BK,BNY Mellon,https://finance.yahoo.com/quote/BK/history?p=BK
70,BA,Boeing,https://finance.yahoo.com/quote/BA/history?p=BA
71,BKNG,Booking Holdings,https://finance.yahoo.com/quote/BKNG/history?p=BKNG
72,BWA,BorgWarner,https://finance.yahoo.com/quote/BWA/history?p=BWA
73,BXP,Boston Properties,https://finance.yahoo.com/quote/BXP/history?p=BXP
74,BSX,Boston Scientific,https://finance.yahoo.com/quote/BSX/history?p=BSX
75,BMY,Bristol Myers Squibb,https://finance.yahoo.com/quote/BMY/history?p=BMY
